,00display cabinet,01bathtub,02bed,03oven and stove,04toilet,05bathroom cabinet,06bed,07towel,08oven and stove,09box,10display cabinet,11towel,12cabinet,13washing machine,14wardrobe,15bathroom towel,16bed,17washing machine,18bathroom towel,19table
img0018,0.3062688410282135,0.5823362469673157,0.6253599524497986,0.5799471735954285,0.43002980947494507,0.6374995708465576,0.2843461334705353,0.4487341344356537,0.5208650231361389,0.42883485555648804,0.6232824921607971,0.09391634911298752,0.42523980140686035,0.5189613103866577,0.3747074604034424,0.2040385901927948,0.7723097801208496,0.485756516456604,0.4546322822570801,0.34795457124710083
img0019,0.602073073387146,0.4199780225753784,0.36257100105285645,0.596160888671875,0.4758552312850952,0.621598482131958,0.3046645224094391,0.43956804275512695,0.5548656582832336,0.4727095365524292,0.6709197759628296,0.562964916229248,0.5905376672744751,0.5558437705039978,0.6014144420623779,0.5239558815956116,0.3942624032497406,0.7457244396209717,0.6697852611541748,0.6607566475868225
img0020,0.5882765054702759,0.4447548985481262,0.39246121048927307,0.6730918884277344,0.4890594184398651,0.6418241262435913,0.3246079981327057,0.47355470061302185,0.6104745864868164,0.3638207018375397,0.7088112235069275,0.7335454821586609,0.23478913307189941,0.5487613081932068,0.5899415612220764,0.5500919818878174,0.43371376395225525,0.5353537797927856,0.5500919818878174,0.38796716928482056
img0021,0.575005054473877,0.4457622766494751,0.3646696209907532,0.6950379610061646,0.4419673979282379,0.6129114627838135,0.31757548451423645,0.4747301936149597,0.6087436079978943,0.4717598259449005,0.04054898023605347,0.6282736659049988,0.621390700340271,0.5811684131622314,0.5350654721260071,0.518726110458374,0.41931048035621643,0.5265802145004272,0.518726110458374,0.43106868863105774
img0022,0.529370129108429,0.4548802673816681,0.4925558269023895,0.7728313207626343,0.49570974707603455,0.6779747605323792,0.3202478885650635,0.49916982650756836,0.6535356640815735,0.47155293822288513,0.5808156132698059,0.5159945487976074,0.5851212739944458,0.5094257593154907,0.4914587140083313,0.49317696690559387,0.6238622665405273,0.7772225141525269,0.49317723512649536,0.4801483750343323
img0023,0.3194430470466614,0.5114927887916565,0.42246100306510925,0.7025700211524963,0.45107752084732056,0.5825490951538086,0.3548754155635834,0.5187204480171204,0.6105082035064697,0.4892805814743042,0.6249668598175049,0.5030845999717712,0.6189507246017456,0.4828731417655945,0.4931195080280304,0.5594553351402283,0.476027250289917,0.5398494005203247,0.5594553351402283,0.198499858379364
img0024,0.5027504563331604,0.6822508573532104,0.24214887619018555,0.6972782611846924,0.43779823184013367,0.6450605988502502,0.3117067813873291,0.5486247539520264,0.5788590312004089,0.4864583909511566,0.5701345801353455,0.6968863010406494,0.6023290157318115,0.6594350934028625,0.5372838377952576,0.525260865688324,0.4886063039302826,0.5415176153182983,0.5252608060836792,0.3949386775493622
img0025,0.5555232763290405,0.4929332435131073,0.4306294322013855,0.7301228046417236,0.4687812626361847,0.6326073408126831,0.650505781173706,0.790027379989624,0.6651899814605713,0.6574194431304932,0.6898653507232666,0.7601210474967957,0.7926087379455566,0.7915995717048645,0.7140557169914246,0.5832695960998535,0.5692019462585449,0.815761148929596,0.5832698345184326,0.05573783069849014
img0026,0.5440791845321655,0.4978713095188141,0.4348050057888031,0.7656790018081665,0.4213411211967468,0.6028299927711487,0.3106217682361603,0.5514216423034668,0.6159365773200989,0.632016122341156,0.6966583132743835,0.5717752575874329,0.5412138104438782,0.5282720327377319,0.5014373064041138,0.49496543407440186,0.47598516941070557,0.5551766157150269,0.49496543407440186,0.3643227219581604
img0027,0.13753198087215424,0.8278806209564209,0.20647360384464264,0.8145590424537659,0.8579391241073608,0.7630389928817749,0.5807364583015442,0.7235397100448608,0.7641815543174744,0.058736108243465424,0.47948670387268066,0.5871336460113525,0.5135957598686218,0.5468603372573853,0.5040234327316284,0.5295558571815491,0.463491290807724,0.574606716632843,0.5295558571815491,0.8125056624412537
img0028,0.5986592173576355,0.7103713750839233,0.39146023988723755,0.8165917992591858,0.5240882635116577,0.9161241054534912,0.7040526270866394,0.7263932228088379,0.4330132007598877,0.4258491098880768,0.8708690404891968,0.1531846672296524,0.6177584528923035,0.5489383339881897,0.5198061466217041,0.45807668566703796,0.49747493863105774,0.5578880310058594,0.45807668566703796,0.379888653755188
img0029,0.1097300574183464,0.8433055877685547,0.4763792157173157,0.2455540895462036,0.4136575162410736,0.6860640645027161,0.27981358766555786,0.579784095287323,0.5762330889701843,0.4466610848903656,0.6107819080352783,0.6684151887893677,0.17441771924495697,0.7808030843734741,0.754524290561676,0.5566296577453613,0.6706841588020325,0.8091428279876709,0.5566292405128479,0.5554661154747009
